s_m,x_m,y_m,yaw_rad,kappa_1pm,radius_m,tube,direction
1.884161,3.084638,3.110000,0.000000000,-0.000000000,,outer,ccw
1.894151,3.094628,3.110000,0.000000000,-0.000000000,,outer,ccw
1.904141,3.104618,3.110000,0.000000000,-0.000000000,,outer,ccw
1.914132,3.114609,3.110000,0.000000000,-0.000000000,,outer,ccw
1.924122,3.124599,3.110000,0.000000000,-0.000000000,,outer,ccw
1.934112,3.134589,3.110000,0.000000000,-0.000000000,,outer,ccw
1.944103,3.144580,3.110000,0.000000000,-0.000000000,,outer,ccw
1.954093,3.154570,3.110000,0.000000000,-0.000000000,,outer,ccw
1.964083,3.164560,3.110000,0.000000000,-0.000000000,,outer,ccw
1.974074,3.174551,3.110000,0.000000000,-0.000000000,,outer,ccw
1.984064,3.184541,3.110000,0.000000000,-0.000000000,,outer,ccw
1.994054,3.194531,3.110000,0.000000000,-0.000000000,,outer,ccw
2.004045,3.204522,3.110000,0.000000000,-0.000000000,,outer,ccw
2.014035,3.214512,3.110001,0.000374628,0.124387782,8.039375,outer,ccw
2.024025,3.224502,3.110014,0.002589929,0.315549807,3.169072,outer,ccw
2.034016,3.234493,3.110059,0.006609831,0.485700859,2.058880,outer,ccw
2.044007,3.244483,3.110151,0.012227195,0.635515966,1.573525,outer,ccw
2.053998,3.254473,3.110307,0.019243173,0.765688622,1.306014,outer,ccw
2.063991,3.264464,3.110540,0.027466446,0.876882258,1.140404,outer,ccw
2.073987,3.274454,3.110860,0.036710025,0.969722602,1.031223,outer,ccw
2.083985,3.284444,3.111277,0.046796249,1.044882672,0.957045,outer,ccw
2.093990,3.294435,3.111798,0.057554830,1.103058172,0.906571,outer,ccw
2.104000,3.304425,3.112430,0.068819490,1.144971119,0.873384,outer,ccw
2.114018,3.314415,3.113176,0.080434762,1.171412990,0.853670,outer,ccw
2.124046,3.324406,3.114041,0.092253265,1.183223268,0.845149,outer,ccw
2.134084,3.334396,3.115025,0.104132359,1.181290620,0.846532,outer,ccw
2.144135,3.344386,3.116129,0.115941589,1.166552966,0.857226,outer,ccw
2.154201,3.354377,3.117352,0.127559371,1.139977571,0.877210,outer,ccw
2.164280,3.364367,3.118691,0.138869734,1.102561627,0.906979,outer,ccw
2.174375,3.374357,3.120143,0.149769408,1.055301641,0.947596,outer,ccw
2.184487,3.384348,3.121704,0.160164157,0.999182311,1.000818,outer,ccw
2.194615,3.394338,3.123369,0.169965751,0.935184041,1.069308,outer,ccw
2.204759,3.404328,3.125131,0.179098035,0.864237061,1.157090,outer,ccw
2.214921,3.414319,3.126984,0.187493259,0.787225479,1.270284,outer,ccw
2.225096,3.424309,3.128919,0.195089541,0.705006620,1.418426,outer,ccw
2.235287,3.434299,3.130929,0.201835564,0.618360667,1.617179,outer,ccw
2.245491,3.444290,3.133005,0.207687302,0.528010692,1.893901,outer,ccw
2.255706,3.454280,3.135136,0.212606272,0.434653442,2.300683,outer,ccw
2.265930,3.464270,3.137314,0.216562698,0.338909100,2.950644,outer,ccw
2.276164,3.474261,3.139529,0.219532999,0.241353586,4.143299,outer,ccw
2.286402,3.484251,3.141769,0.221499061,0.142556930,7.014741,outer,ccw
2.296643,3.494241,3.144025,0.222449806,0.043033963,23.237460,outer,ccw
2.306887,3.504232,3.146285,0.222379700,-0.056716413,17.631580,outer,ccw
2.317128,3.514222,3.148539,0.221289159,-0.156170069,6.403276,outer,ccw
2.327366,3.524212,3.150777,0.219184515,-0.254826595,3.924237,outer,ccw
2.337598,3.534203,3.152987,0.216077656,-0.352168169,2.839552,outer,ccw
2.347822,3.544193,3.155159,0.211987578,-0.447620485,2.234035,outer,ccw
2.358035,3.554183,3.157284,0.206938733,-0.540602104,1.849789,outer,ccw
2.368238,3.564174,3.159351,0.200961811,-0.630486317,1.586077,outer,ccw
2.378426,3.574164,3.161351,0.194096295,-0.716569296,1.395538,outer,ccw
2.388601,3.584155,3.163276,0.186386411,-0.798128283,1.252931,outer,ccw
2.398759,3.594145,3.165116,0.177886978,-0.874351710,1.143705,outer,ccw
2.408901,3.604135,3.166865,0.168658590,-0.944398939,1.058875,outer,ccw
2.419027,3.614126,3.168516,0.158769951,-1.007377377,0.992677,outer,ccw
2.429136,3.624116,3.170063,0.148301477,-1.062333668,0.941324,outer,ccw
2.439229,3.634106,3.171500,0.137339597,-1.108301664,0.902281,outer,ccw
2.449307,3.644097,3.172823,0.125979662,-1.144291784,0.873903,outer,ccw
2.459370,3.654087,3.174030,0.114329665,-1.169298208,0.855214,outer,ccw
2.469419,3.664077,3.175117,0.102503379,-1.182335349,0.845784,outer,ccw
2.479457,3.674068,3.176085,0.090623585,-1.182436047,0.845712,outer,ccw
2.489483,3.684058,3.176933,0.078825504,-1.168669815,0.855674,outer,ccw
2.499499,3.694048,3.177664,0.067249372,-1.140153192,0.877075,outer,ccw
2.509509,3.704039,3.178280,0.056043770,-1.096049368,0.912368,outer,ccw
2.519512,3.714029,3.178787,0.045368533,-1.035589621,0.965633,outer,ccw
2.529510,3.724019,3.179190,0.035387645,-0.958043225,1.043794,outer,ccw
2.539506,3.734010,3.179497,0.026272612,-0.862713979,1.159133,outer,ccw
2.549498,3.744000,3.179718,0.018204656,-0.748962801,1.335180,outer,ccw
2.559489,3.753990,3.179865,0.011369087,-0.616133477,1.623025,outer,ccw
2.569481,3.763981,3.179950,0.005958585,-0.463554376,2.157244,outer,ccw
2.579471,3.773971,3.179989,0.002174383,-0.290576443,3.441435,outer,ccw
2.589461,3.783961,3.180000,0.000223182,-0.096471396,10.365767,outer,ccw
2.599452,3.793952,3.180000,0.000002533,0.005066580,197.371797,outer,ccw
2.609442,3.803942,3.180004,0.001126189,0.211373089,4.730971,outer,ccw
2.619432,3.813932,3.180029,0.004329575,0.419505145,2.383761,outer,ccw
2.629422,3.823922,3.180097,0.009612269,0.627637200,1.593277,outer,ccw
2.639413,3.833912,3.180228,0.016974272,0.835769255,1.196502,outer,ccw
2.649403,3.843900,3.180443,0.026415584,1.043901311,0.957945,outer,ccw
2.659393,3.853885,3.180763,0.037936204,1.252033366,0.798701,outer,ccw
2.669383,3.863865,3.181208,0.051536133,1.460165421,0.684854,outer,ccw
2.679374,3.873838,3.181799,0.067215371,1.668297476,0.599413,outer,ccw
2.689364,3.883799,3.182557,0.084973917,1.876429531,0.532927,outer,ccw
2.699354,3.893745,3.183502,0.104811772,2.084561586,0.479717,outer,ccw
2.709344,3.903668,3.184654,0.126728935,2.292693641,0.436168,outer,ccw
2.719335,3.913563,3.186034,0.150723941,2.497892645,0.400337,outer,ccw
2.729325,3.923420,3.187657,0.175699787,2.500000000,0.400000,outer,ccw
2.739315,3.933234,3.189526,0.200675634,2.500000000,0.400000,outer,ccw
2.749305,3.942998,3.191639,0.225651481,2.500000000,0.400000,outer,ccw
2.759295,3.952706,3.193996,0.250627327,2.500000000,0.400000,outer,ccw
2.769285,3.962352,3.196594,0.275603174,2.500000000,0.400000,outer,ccw
2.779275,3.971930,3.199433,0.300579020,2.500000000,0.400000,outer,ccw
2.789265,3.981435,3.202510,0.325554867,2.500000000,0.400000,outer,ccw
2.799256,3.990860,3.205823,0.350530714,2.500000000,0.400000,outer,ccw
2.809246,4.000199,3.209370,0.375506560,2.500000000,0.400000,outer,ccw
2.819235,4.009446,3.213150,0.400482407,2.500000000,0.400000,outer,ccw
2.829225,4.018596,3.217159,0.425458253,2.500000000,0.400000,outer,ccw
2.839216,4.027644,3.221396,0.450434100,2.500000000,0.400000,outer,ccw
2.849205,4.036582,3.225857,0.475409946,2.500000000,0.400000,outer,ccw
2.859196,4.045407,3.230540,0.500385793,2.500000000,0.400000,outer,ccw
2.869185,4.054111,3.235442,0.525361640,2.500000000,0.400000,outer,ccw
2.879176,4.062691,3.240560,0.550337486,2.500000000,0.400000,outer,ccw
2.889166,4.071140,3.245890,0.575313333,2.500000000,0.400000,outer,ccw
2.899156,4.079454,3.251430,0.600289180,2.500000000,0.400000,outer,ccw
2.909146,4.087626,3.257176,0.625265026,2.500000000,0.400000,outer,ccw
2.919136,4.095652,3.263124,0.650240873,2.500000000,0.400000,outer,ccw
2.929126,4.103528,3.269270,0.675216720,2.500000000,0.400000,outer,ccw
2.939116,4.111247,3.275612,0.700192566,2.500000000,0.400000,outer,ccw
2.949107,4.118806,3.282144,0.725168413,2.500000000,0.400000,outer,ccw
2.959097,4.126199,3.288863,0.750144259,2.500000000,0.400000,outer,ccw
2.969087,4.133422,3.295764,0.775120106,2.500000000,0.400000,outer,ccw
2.979077,4.140470,3.302844,0.800095953,2.500000000,0.400000,outer,ccw
2.989067,4.147340,3.310097,0.825071800,2.500000000,0.400000,outer,ccw
2.999057,4.154026,3.317520,0.850047646,2.500000000,0.400000,outer,ccw
3.009047,4.160525,3.325107,0.875023493,2.500000000,0.400000,outer,ccw
3.019037,4.166832,3.332855,0.899999340,2.500000000,0.400000,outer,ccw
3.029027,4.172943,3.340757,0.924975186,2.500000000,0.400000,outer,ccw
3.039017,4.178856,3.348810,0.949951033,2.500000000,0.400000,outer,ccw
3.049006,4.184565,3.357007,0.974926880,2.500000000,0.400000,outer,ccw
3.058997,4.190068,3.365345,0.999902727,2.500000000,0.400000,outer,ccw
3.068988,4.195362,3.373818,1.024878573,2.500000000,0.400000,outer,ccw
3.078977,4.200441,3.382420,1.049854420,2.500000000,0.400000,outer,ccw
3.088967,4.205305,3.391146,1.074830267,2.500000000,0.400000,outer,ccw
3.098957,4.209949,3.399991,1.099806114,2.500000000,0.400000,outer,ccw
3.108948,4.214371,3.408950,1.124781960,2.500000000,0.400000,outer,ccw
3.118937,4.218567,3.418015,1.149757807,2.500000000,0.400000,outer,ccw
3.128927,4.222536,3.427183,1.174733654,2.500000000,0.400000,outer,ccw
3.138918,4.226275,3.436447,1.199709501,2.500000000,0.400000,outer,ccw
3.148908,4.229781,3.445802,1.224685347,2.500000000,0.400000,outer,ccw
