s_m,x_m,y_m,yaw_rad,kappa_1pm,radius_m,tube,direction
4.337740,3.788551,4.340000,-3.141592654,0.000000000,,inner,ccw
4.347730,3.778561,4.339997,-3.140777499,0.160333783,6.236989,inner,ccw
4.357721,3.768570,4.339979,-3.138445032,0.303816824,3.291457,inner,ccw
4.367711,3.758580,4.339930,-3.134761236,0.431004866,2.320159,inner,ccw
4.377701,3.748590,4.339838,-3.129885614,0.542480220,1.843385,inner,ccw
4.387693,3.738599,4.339692,-3.123971466,0.638804334,1.565425,inner,ccw
4.397686,3.728609,4.339483,-3.117168269,0.720502782,1.387920,inner,ccw
4.407680,3.718619,4.339202,-3.109618137,0.788131641,1.268824,inner,ccw
4.417677,3.708628,4.338842,-3.101457215,0.842250880,1.187295,inner,ccw
4.427677,3.698638,4.338398,-3.092818388,0.883421904,1.131962,inner,ccw
4.437681,3.688648,4.337865,-3.083826218,0.912245453,1.096196,inner,ccw
4.447692,3.678657,4.337242,-3.074599084,0.929342876,1.076029,inner,ccw
4.457707,3.668667,4.336524,-3.065251930,0.935357119,1.069110,inner,ccw
4.467730,3.658677,4.335713,-3.055890545,0.930961084,1.074159,inner,ccw
4.477762,3.648686,4.334808,-3.046614172,0.916843934,1.090698,inner,ccw
4.487802,3.638696,4.333810,-3.037518182,0.893714552,1.118925,inner,ccw
4.497851,3.628706,4.332722,-3.028688406,0.862286418,1.159707,inner,ccw
4.507911,3.618715,4.331546,-3.020204010,0.823271050,1.214667,inner,ccw
4.517980,3.608725,4.330286,-3.012139934,0.777386411,1.286362,inner,ccw
4.528060,3.598734,4.328946,-3.004561107,0.725321301,1.378699,inner,ccw
4.538150,3.588744,4.327532,-2.997528984,0.667766064,1.497530,inner,ccw
4.548249,3.578754,4.326050,-2.991096240,0.605373127,1.651874,inner,ccw
4.558359,3.568763,4.324505,-2.985309489,0.538767239,1.856089,inner,ccw
4.568477,3.558773,4.322904,-2.980210923,0.468565881,2.134172,inner,ccw
4.578602,3.548783,4.321254,-2.975835021,0.395338855,2.529476,inner,ccw
4.588735,3.538792,4.319564,-2.972210798,0.319627993,3.128637,inner,ccw
4.598873,3.528802,4.317840,-2.969362741,0.241973595,4.132682,inner,ccw
4.609015,3.518812,4.316091,-2.967308785,0.162872337,6.139778,inner,ccw
4.619160,3.508821,4.314324,-2.966061886,0.082803724,12.076751,inner,ccw
4.629307,3.498831,4.312550,-2.965630137,0.002259863,442.504642,inner,ccw
4.639453,3.488841,4.310775,-2.966016074,-0.078297143,12.771858,inner,ccw
4.649599,3.478850,4.309008,-2.967217442,-0.158405362,6.312918,inner,ccw
4.659742,3.468860,4.307258,-2.969226449,-0.237573163,4.209230,inner,ccw
4.669879,3.458870,4.305532,-2.972030427,-0.315321829,3.171363,inner,ccw
4.680013,3.448879,4.303839,-2.975611737,-0.391155749,2.556526,inner,ccw
4.690138,3.438889,4.302188,-2.979946209,-0.464535876,2.152686,inner,ccw
4.700256,3.428899,4.300584,-2.985005139,-0.534921832,1.869432,inner,ccw
4.710367,3.418908,4.299035,-2.990754374,-0.601745376,1.661832,inner,ccw
4.720467,3.408918,4.297549,-2.997152064,-0.664390549,1.505139,inner,ccw
4.730557,3.398928,4.296131,-3.004151944,-0.722234132,1.384593,inner,ccw
4.740638,3.388937,4.294787,-3.011701690,-0.774625103,1.290947,inner,ccw
4.750707,3.378947,4.293523,-3.019740223,-0.820874205,1.218213,inner,ccw
4.760767,3.368957,4.292342,-3.028202113,-0.860289999,1.162399,inner,ccw
4.770818,3.358966,4.291248,-3.037015400,-0.892165701,1.120868,inner,ccw
4.780858,3.348976,4.290245,-3.046098701,-0.915779224,1.091966,inner,ccw
4.790889,3.338986,4.289335,-3.055366491,-0.930419467,1.074784,inner,ccw
4.800914,3.328995,4.288519,-3.064726581,-0.935379766,1.069084,inner,ccw
4.810930,3.319005,4.287796,-3.074077296,-0.929967035,1.075307,inner,ccw
4.820939,3.309015,4.287167,-3.083313229,-0.913510389,1.094678,inner,ccw
